ADR;1000001;22/07/2024;003090
ITM;267;1;;11
ITM;132;1.178;;11
ITM;163;2;;11
ITM;162;1.578;;11
ITM;269;3;;11
ITM;311;0.074;;11
ITM;135;0.904;;11
ITM;138;0.618;;11
ITM;267;3;;11
ITM;214;0.366;;11
ITM;213;11;;11
ITM;127;0.318;;11
ITM;125;0.254;;11
ITM;129;0.552;;11
ITM;360;0.082;;11
ITM;301;0.286;;11
ITM;375;0.162;;11
ITM;505;0.188;;11
ITM;506;0.374;;11
ITM;329;0.31;;11
ITM;700;0.218;;11
ITM;402;0.248;;11
ITM;302;0.054;;11
ITM;451;0.11;;11
ITM;250;1.458;;11
ITM;308;0.184;;11
ITM;313;0.06;;11
ITM;313;0.06;;11
ITM;310;0.132;;11
ITM;415;0.16;;11
ITM;329;0.31;;11
